CaseID,Title,Location,Country,Number of Victim Fatalities,Number of Victims Injured,Total Number of Victims,Description,Date,
81,Appalachian School of Law,"Grundy, Virginia",US,3,3,6,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",1/16/02,
82,University of Arizona College of Nursing,"Tucson, Arizona",US,3,0,3,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",10/28/02,
83,Case Western Reserve University,"Cleveland, Ohio",US,1,2,3,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",5/9/03,
84,Lockheed Martin,"Meridian, Mississippi",US,6,8,14,"On July 8, 2003, a 48-year-old factory worker at Lockheed Martin in Meridian, Mississippi was attending a diversity training workshop mandated by his employer before excusing himself. Minutes later, he returned to the meeting and began shooting at his coworkers, killing six and wounding eight more before killing himself. The shooting was thought to have been racially motivated.",7/8/03,
85,Windy City Core Supply Warehouse,"Chicago, Illinois",US,6,0,6,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",8/27/03,
86,"Birchwood, Wisconsin","Birchwood, Wisconsin",US,6,2,8,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encounted a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",11/21/04,
87,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",US,4,7,11,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",12/8/04,
153,Tyler Corthouse,"Tyler, Texas",US,2,4,6,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",2/24/05,
88,Living Church of God,"Brookfield, Wisconsin",US,7,4,11,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",3/12/05,
89,Red Lake High School,"Red Lake, Minnesota",US,9,5,14,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",3/21/05,
90,Goleta Post Office,"Goleta, California",US,7,0,7,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",1/30/06,
91,"Party in Capitol Hill, Seattle","Seattle, Washington",US,6,2,8,"On March 25, 2006, an unemployed 28-year old went to a rave after party in a residential house in Capitol Hill, a neighborhood in Seattle, Washington. The gunman shot and killed six people and injured two more before committing suicide.",3/25/06,
92,Essex Elementary School,"Essex Junction, Vermont",US,2,2,4,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",8/24/06,
93,Orange High School,"Hillsborough, North Carolina",US,1,2,3,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",8/30/06,
94,Duquesne University,"Pittsburgh, Pennsylvania",US,0,5,5,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",9/17/06,
95,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",US,5,5,10,"On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",10/2/06,
96,Trolley Square,"Salt Lake City, Utah",US,5,4,9,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",2/12/07,
97,Springwater Trail High School,"Gresham, Oregon",US,0,10,10,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",4/10/07,
98,Virginia Tech  Campus,"Blacksburg, Virginia",US,32,17,49,"On April 16, 2007, a 23-year-old mentally ill student of Virginia Tech in Blacksburg, Virginia arrived on campus and began methodically shooting at students and faculty in classrooms and hallways. He killed five faculty members and twenty seven students before shooting himself in the head. ",4/16/07,
99,"Apartment in Crandon, Wisconsin","Crandon, Wisconsin",US,6,1,7,"In the early hours of October 7, 2007, a 20-year-old off-duty sheriff's deputy at a homecoming after party opened fire on houseguests possibly after a dispute with his girlfriend. He killed six and wounded another before fleeing the scene and committing suicide.",10/7/07,
100,SuccessTech Academy,"Cleveland, Ohio",US,0,4,4,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide. ",10/11/07,
101,South Middle School Football Game,"Saginaw, Michigan",US,0,4,4,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",10/25/07,
102,Westroads Mall,"Omaha, Nebraska",US,8,4,12,"On December 5, 2007, a 19-year-old man from Omaha, Nebraska entered the Westroads Mall with the intention of taking lives before committing suicide. He killed eight shoppers and wounded four more with a stolen assault rifle before successfully killing himself.",12/5/07,
103,Youth With A Mission and New Life Church,"Arvada, Colorado",US,4,5,9,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",12/9/07,
104,Mojave High School Bus,"Las Vegas, Nevada",US,0,6,6,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",12/11/07,
105,"Carnation, Washington","Carnation, Washington",US,6,0,6,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",12/24/07,
